Source_Article_ID,Target_Article_ID,Relationship_Type,Strength,Method,Reason,People_Connection,Org_Connection
ART-0007,ART-0324,"shared_person, same_category",0.500,deterministic,"Deterministic match: shared_person, same_category",donald trump,
ART-0007,ART-0325,tag_overlap,0.100,deterministic,Deterministic match: tag_overlap,,
ART-0007,ART-0327,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0328,"shared_person, same_category",0.500,deterministic,"Deterministic match: shared_person, same_category",donald trump,
ART-0007,ART-0329,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0330,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0332,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0333,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0334,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0336,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0337,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0338,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0341,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0007,ART-0343,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0344,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0347,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0348,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0350,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0352,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0353,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0354,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0355,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0357,"shared_person, same_category",0.500,deterministic,"Deterministic match: shared_person, same_category",donald trump,
ART-0007,ART-0359,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0360,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0361,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0362,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0363,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0364,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0365,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0366,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0367,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0370,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0371,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0372,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0007,ART-0373,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0374,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0007,ART-0375,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0376,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0378,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0379,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0380,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0381,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0382,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0383,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0384,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0385,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0386,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0387,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0388,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0389,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0390,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0391,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0393,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0394,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0395,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0399,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0400,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0401,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0403,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0404,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0407,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0408,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0409,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0411,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0412,"shared_person, same_category",0.500,deterministic,"Deterministic match: shared_person, same_category",donald trump,
ART-0007,ART-0414,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0415,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0418,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0419,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0421,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0426,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0428,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0007,ART-0430,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0018,"shared_person, temporal_proximity",0.371,deterministic,"Deterministic match: shared_person, temporal_proximity",donald trump,
ART-0008,ART-0019,"shared_person, temporal_proximity",0.371,deterministic,"Deterministic match: shared_person, temporal_proximity",donald trump,
ART-0008,ART-0021,"shared_person, temporal_proximity",0.400,deterministic,"Deterministic match: shared_person, temporal_proximity",donald trump,
ART-0008,ART-0023,"shared_person, tag_overlap, temporal_proximity",0.471,deterministic,"Deterministic match: shared_person, tag_overlap, temporal_proximity",donald trump,
ART-0008,ART-0026,"shared_person, temporal_proximity",0.343,deterministic,"Deterministic match: shared_person, temporal_proximity",donald trump,
ART-0008,ART-0027,"shared_person, tag_overlap, temporal_proximity",0.486,deterministic,"Deterministic match: shared_person, tag_overlap, temporal_proximity",donald trump,
ART-0008,ART-0031,"tag_overlap, temporal_proximity",0.143,deterministic,"Deterministic match: tag_overlap, temporal_proximity",,
ART-0008,ART-0032,"shared_person, temporal_proximity",0.300,deterministic,"Deterministic match: shared_person, temporal_proximity",donald trump,
ART-0008,ART-0034,"same_category, temporal_proximity",0.200,deterministic,"Deterministic match: same_category, temporal_proximity",,
ART-0008,ART-0035,"shared_person, tag_overlap, temporal_proximity",0.400,deterministic,"Deterministic match: shared_person, tag_overlap, temporal_proximity",donald trump,
ART-0008,ART-0038,"shared_person, tag_overlap, temporal_proximity",0.400,deterministic,"Deterministic match: shared_person, tag_overlap, temporal_proximity",donald trump,
ART-0008,ART-0039,"tag_overlap, temporal_proximity",0.114,deterministic,"Deterministic match: tag_overlap, temporal_proximity",,
ART-0008,ART-0040,"same_category, tag_overlap, temporal_proximity",0.300,deterministic,"Deterministic match: same_category, tag_overlap, temporal_proximity",,
ART-0008,ART-0042,"shared_person, same_category, temporal_proximity",0.500,deterministic,"Deterministic match: shared_person, same_category, temporal_proximity",donald trump,
ART-0008,ART-0043,"tag_overlap, temporal_proximity",0.100,deterministic,"Deterministic match: tag_overlap, temporal_proximity",,
ART-0008,ART-0044,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0046,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0048,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0049,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0052,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0053,"shared_person, tag_overlap",0.400,deterministic,"Deterministic match: shared_person, tag_overlap",donald trump,
ART-0008,ART-0057,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0058,"shared_person, tag_overlap",0.400,deterministic,"Deterministic match: shared_person, tag_overlap",donald trump,
ART-0008,ART-0060,"shared_person, tag_overlap",0.400,deterministic,"Deterministic match: shared_person, tag_overlap",donald trump,
ART-0008,ART-0062,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0063,"shared_person, same_category",0.500,deterministic,"Deterministic match: shared_person, same_category",donald trump,
ART-0008,ART-0064,"shared_person, tag_overlap",0.400,deterministic,"Deterministic match: shared_person, tag_overlap",donald trump,
ART-0008,ART-0066,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0067,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0008,ART-0069,"shared_person, tag_overlap",0.400,deterministic,"Deterministic match: shared_person, tag_overlap",karoline leavitt,
ART-0008,ART-0071,"shared_person, same_category, tag_overlap",0.600,deterministic,"Deterministic match: shared_person, same_category, tag_overlap",donald trump,
ART-0008,ART-0072,"shared_person, tag_overlap",0.400,deterministic,"Deterministic match: shared_person, tag_overlap",donald trump,
ART-0008,ART-0075,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0077,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0078,"shared_person, tag_overlap",0.400,deterministic,"Deterministic match: shared_person, tag_overlap",donald trump,
ART-0008,ART-0079,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0008,ART-0080,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0081,"shared_person, same_category",0.500,deterministic,"Deterministic match: shared_person, same_category",donald trump,
ART-0008,ART-0082,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0008,ART-0083,"shared_person, same_category",0.500,deterministic,"Deterministic match: shared_person, same_category",donald trump,
ART-0008,ART-0086,"shared_person, same_category",0.500,deterministic,"Deterministic match: shared_person, same_category",donald trump,
ART-0008,ART-0087,"shared_person, tag_overlap",0.400,deterministic,"Deterministic match: shared_person, tag_overlap",donald trump,
ART-0008,ART-0088,"shared_person, tag_overlap",0.400,deterministic,"Deterministic match: shared_person, tag_overlap",donald trump,
ART-0008,ART-0090,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0092,"shared_person, tag_overlap",0.500,deterministic,"Deterministic match: shared_person, tag_overlap",donald trump,
ART-0008,ART-0093,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0094,tag_overlap,0.100,deterministic,Deterministic match: tag_overlap,,
ART-0008,ART-0095,"shared_person, tag_overlap",0.400,deterministic,"Deterministic match: shared_person, tag_overlap",donald trump,
ART-0008,ART-0096,shared_organization,0.300,deterministic,Deterministic match: shared_organization,,trump administration
ART-0008,ART-0097,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0099,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0100,"shared_person, same_category",0.500,deterministic,"Deterministic match: shared_person, same_category",donald trump,
ART-0008,ART-0101,"shared_person, tag_overlap",0.400,deterministic,"Deterministic match: shared_person, tag_overlap",donald trump,
ART-0008,ART-0107,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0008,ART-0110,"shared_person, tag_overlap",0.400,deterministic,"Deterministic match: shared_person, tag_overlap",donald trump,
ART-0008,ART-0111,tag_overlap,0.200,deterministic,Deterministic match: tag_overlap,,
ART-0008,ART-0112,content_similarity,0.635,embedding,Content similarity: 0.635,,
ART-0008,ART-0113,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0114,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0116,"shared_person, tag_overlap",0.400,deterministic,"Deterministic match: shared_person, tag_overlap",donald trump,
ART-0008,ART-0117,"shared_person, tag_overlap",0.500,deterministic,"Deterministic match: shared_person, tag_overlap",donald trump,
ART-0008,ART-0119,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0121,tag_overlap,0.100,deterministic,Deterministic match: tag_overlap,,
ART-0008,ART-0122,tag_overlap,0.100,deterministic,Deterministic match: tag_overlap,,
ART-0008,ART-0123,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0124,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0125,content_similarity,0.608,embedding,Content similarity: 0.608,,
ART-0008,ART-0126,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0127,"shared_person, same_category, tag_overlap",0.600,deterministic,"Deterministic match: shared_person, same_category, tag_overlap",donald trump,
ART-0008,ART-0128,"shared_person, tag_overlap",0.400,deterministic,"Deterministic match: shared_person, tag_overlap",donald trump,
ART-0008,ART-0129,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0130,"shared_person, tag_overlap",0.400,deterministic,"Deterministic match: shared_person, tag_overlap",donald trump,
ART-0008,ART-0131,shared_person,0.600,deterministic,Deterministic match: shared_person,"karoline leavitt, donald trump",
ART-0008,ART-0132,"shared_person, same_category",0.500,deterministic,"Deterministic match: shared_person, same_category",donald trump,
ART-0008,ART-0133,"shared_person, same_category, tag_overlap",0.600,deterministic,"Deterministic match: shared_person, same_category, tag_overlap",donald trump,
ART-0008,ART-0135,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0008,ART-0138,tag_overlap,0.200,deterministic,Deterministic match: tag_overlap,,
ART-0008,ART-0139,tag_overlap,0.100,deterministic,Deterministic match: tag_overlap,,
ART-0008,ART-0140,content_similarity,0.641,embedding,Content similarity: 0.641,,
ART-0008,ART-0142,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0145,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0146,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0148,"shared_person, tag_overlap",0.400,deterministic,"Deterministic match: shared_person, tag_overlap",donald trump,
ART-0008,ART-0149,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0151,tag_overlap,0.100,deterministic,Deterministic match: tag_overlap,,
ART-0008,ART-0152,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0153,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0154,"shared_person, same_category",0.500,deterministic,"Deterministic match: shared_person, same_category",donald trump,
ART-0008,ART-0155,"shared_person, same_category, tag_overlap",0.600,deterministic,"Deterministic match: shared_person, same_category, tag_overlap",donald trump,
ART-0008,ART-0156,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0157,"shared_person, shared_organization, tag_overlap",0.700,deterministic,"Deterministic match: shared_person, shared_organization, tag_overlap",donald trump,trump administration
ART-0008,ART-0158,"shared_person, tag_overlap",0.400,deterministic,"Deterministic match: shared_person, tag_overlap",donald trump,
ART-0008,ART-0159,tag_overlap,0.100,deterministic,Deterministic match: tag_overlap,,
ART-0008,ART-0163,tag_overlap,0.100,deterministic,Deterministic match: tag_overlap,,
ART-0008,ART-0165,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0166,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0168,"shared_person, tag_overlap",0.400,deterministic,"Deterministic match: shared_person, tag_overlap",donald trump,
ART-0008,ART-0169,"shared_person, tag_overlap",0.400,deterministic,"Deterministic match: shared_person, tag_overlap",donald trump,
ART-0008,ART-0171,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0172,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0173,"shared_person, tag_overlap",0.400,deterministic,"Deterministic match: shared_person, tag_overlap",donald trump,
ART-0008,ART-0175,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0177,"shared_person, same_category",0.500,deterministic,"Deterministic match: shared_person, same_category",donald trump,
ART-0008,ART-0178,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0179,shared_organization,0.300,deterministic,Deterministic match: shared_organization,,trump administration
ART-0008,ART-0180,tag_overlap,0.100,deterministic,Deterministic match: tag_overlap,,
ART-0008,ART-0183,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0187,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0188,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0189,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0190,"shared_person, tag_overlap",0.500,deterministic,"Deterministic match: shared_person, tag_overlap",donald trump,
ART-0008,ART-0191,"shared_person, tag_overlap",0.500,deterministic,"Deterministic match: shared_person, tag_overlap",donald trump,
ART-0008,ART-0192,tag_overlap,0.200,deterministic,Deterministic match: tag_overlap,,
ART-0008,ART-0193,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0194,tag_overlap,0.200,deterministic,Deterministic match: tag_overlap,,
ART-0008,ART-0195,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0197,"shared_person, tag_overlap",0.500,deterministic,"Deterministic match: shared_person, tag_overlap",donald trump,
ART-0008,ART-0198,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0199,tag_overlap,0.200,deterministic,Deterministic match: tag_overlap,,
ART-0008,ART-0203,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0204,content_similarity,0.634,embedding,Content similarity: 0.634,,
ART-0008,ART-0205,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0206,"shared_person, tag_overlap",0.500,deterministic,"Deterministic match: shared_person, tag_overlap",donald trump,
ART-0008,ART-0208,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0210,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0211,tag_overlap,0.100,deterministic,Deterministic match: tag_overlap,,
ART-0008,ART-0212,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0213,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0215,tag_overlap,0.200,deterministic,Deterministic match: tag_overlap,,
ART-0008,ART-0216,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0217,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0220,"shared_person, shared_organization, tag_overlap",0.700,deterministic,"Deterministic match: shared_person, shared_organization, tag_overlap",donald trump,trump administration
ART-0008,ART-0221,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0223,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0225,tag_overlap,0.100,deterministic,Deterministic match: tag_overlap,,
ART-0008,ART-0226,"shared_person, tag_overlap",0.500,deterministic,"Deterministic match: shared_person, tag_overlap",donald trump,
ART-0008,ART-0227,"shared_person, same_category, tag_overlap",0.700,deterministic,"Deterministic match: shared_person, same_category, tag_overlap",donald trump,
ART-0008,ART-0228,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0229,"shared_person, tag_overlap",0.400,deterministic,"Deterministic match: shared_person, tag_overlap",donald trump,
ART-0008,ART-0230,"shared_person, same_category, tag_overlap",0.700,deterministic,"Deterministic match: shared_person, same_category, tag_overlap",donald trump,
ART-0008,ART-0231,"shared_person, same_category, tag_overlap",0.700,deterministic,"Deterministic match: shared_person, same_category, tag_overlap",donald trump,
ART-0008,ART-0232,"shared_person, same_category",0.500,deterministic,"Deterministic match: shared_person, same_category",donald trump,
ART-0008,ART-0234,"shared_organization, tag_overlap",0.500,deterministic,"Deterministic match: shared_organization, tag_overlap",,trump administration
ART-0008,ART-0235,tag_overlap,0.200,deterministic,Deterministic match: tag_overlap,,
ART-0008,ART-0236,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0237,"shared_person, tag_overlap",0.400,deterministic,"Deterministic match: shared_person, tag_overlap",donald trump,
ART-0008,ART-0238,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0239,"shared_person, tag_overlap",0.400,deterministic,"Deterministic match: shared_person, tag_overlap",donald trump,
ART-0008,ART-0240,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0008,ART-0243,"shared_person, tag_overlap",0.500,deterministic,"Deterministic match: shared_person, tag_overlap",donald trump,
ART-0008,ART-0244,"shared_person, tag_overlap",0.400,deterministic,"Deterministic match: shared_person, tag_overlap",donald trump,
ART-0008,ART-0245,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0246,"shared_person, same_category",0.500,deterministic,"Deterministic match: shared_person, same_category",donald trump,
ART-0008,ART-0247,"shared_person, same_category",0.500,deterministic,"Deterministic match: shared_person, same_category",donald trump,
ART-0008,ART-0248,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0249,"shared_person, tag_overlap",0.400,deterministic,"Deterministic match: shared_person, tag_overlap",donald trump,
ART-0008,ART-0250,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0251,"shared_person, same_category",0.500,deterministic,"Deterministic match: shared_person, same_category",donald trump,
ART-0008,ART-0252,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0253,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0255,"shared_person, tag_overlap",0.400,deterministic,"Deterministic match: shared_person, tag_overlap",donald trump,
ART-0008,ART-0257,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0258,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0259,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0260,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0264,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0265,"shared_person, same_category",0.500,deterministic,"Deterministic match: shared_person, same_category",donald trump,
ART-0008,ART-0266,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0267,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0008,ART-0268,"shared_person, same_category, tag_overlap",0.600,deterministic,"Deterministic match: shared_person, same_category, tag_overlap",donald trump,
ART-0008,ART-0271,"shared_person, tag_overlap",0.400,deterministic,"Deterministic match: shared_person, tag_overlap",donald trump,
ART-0008,ART-0273,"shared_person, tag_overlap",0.700,deterministic,"Deterministic match: shared_person, tag_overlap","karoline leavitt, donald trump",
ART-0008,ART-0274,"shared_person, tag_overlap",0.400,deterministic,"Deterministic match: shared_person, tag_overlap",donald trump,
ART-0008,ART-0275,"shared_person, tag_overlap",0.500,deterministic,"Deterministic match: shared_person, tag_overlap",donald trump,
ART-0008,ART-0276,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0277,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0280,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0282,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0283,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0008,ART-0284,"shared_person, tag_overlap",0.400,deterministic,"Deterministic match: shared_person, tag_overlap",donald trump,
ART-0008,ART-0285,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0286,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0290,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0291,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0293,tag_overlap,0.100,deterministic,Deterministic match: tag_overlap,,
ART-0008,ART-0294,"shared_person, tag_overlap",0.400,deterministic,"Deterministic match: shared_person, tag_overlap",donald trump,
ART-0008,ART-0295,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0296,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0297,"shared_person, same_category",0.500,deterministic,"Deterministic match: shared_person, same_category",donald trump,
ART-0008,ART-0298,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0299,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0008,ART-0300,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0301,"shared_person, same_category",0.500,deterministic,"Deterministic match: shared_person, same_category",donald trump,
ART-0008,ART-0302,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0303,"shared_person, tag_overlap",0.400,deterministic,"Deterministic match: shared_person, tag_overlap",donald trump,
ART-0008,ART-0305,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0307,"shared_person, same_category",0.500,deterministic,"Deterministic match: shared_person, same_category",donald trump,
ART-0008,ART-0308,"shared_person, same_category",0.500,deterministic,"Deterministic match: shared_person, same_category",donald trump,
ART-0008,ART-0309,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0310,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0311,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0312,"shared_person, tag_overlap",0.400,deterministic,"Deterministic match: shared_person, tag_overlap",donald trump,
ART-0008,ART-0314,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0315,same_category,0.200,deterministic,Deterministic match: same_category,,
ART-0008,ART-0316,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0317,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0320,"shared_person, tag_overlap",0.400,deterministic,"Deterministic match: shared_person, tag_overlap",donald trump,
ART-0008,ART-0324,shared_person,0.300,deterministic,Deterministic match: shared_person,donald trump,
ART-0008,ART-0325,tag_overlap,0.100,deterministic,Deterministic match: tag_overlap,,
